 energy   cTheta  phi     prob_b  spheri  pt2rel  multip  bqvjet  ptlrel  nnbjet isb
 45.4658 -0.2018 -0.2216  0.0151  0.1881  0.0844  0.3500  0.0333 -0.0003  0.1225 0 
 36.8902  0.2297  2.9195  0.0709  0.5381  0.0972  0.5091  0.0949 -0.0003  0.4786 0 
 48.2460  0.5584 -2.2468  0.0490  0.1261  0.1006  0.3016  0.0340 -0.0003  0.1374 0 
 40.5737 -0.5669  0.9006  0.0343  0.5694  0.0228  0.3608  0.0157 -0.0003  0.2150 0 
 44.8157 -0.4584 -0.4803  0.0631  0.4227  0.1949  0.5270  0.1122 -0.0003  0.4523 0 
 42.6673  0.4440  2.6791  0.0605  0.5131  0.0227  0.2670  0.0092  0.1016  0.5023 0 
 48.2307 -0.0485  0.6345  0.1235  0.1865  0.0412  0.3447  0.0360 -0.0003  0.3660 0 
 37.6318  0.0176 -2.5167  0.0038  0.5860  0.0545  0.3683  0.1017 -0.0003  0.2475 0 
 53.0709  0.5532  2.4880  0.0259  0.2296  0.1353  0.2523  0.0153 -0.0003  0.1759 0 
 49.8940 -0.5585 -0.6342  0.0335  0.2658  0.0207  0.1281  0.0224 -0.0003  0.1298 0 
 47.6875  0.7783  1.6696  0.0316  0.1406  0.0885  0.3025  0.0158 -0.0003  0.1177 1 
 35.8709 -0.7604 -1.4314  0.2241  0.5397  0.0703  0.3732  0.3038  0.5292  0.9994 1 
 49.2317 -0.1866 -2.1413  0.0995  0.1946  0.0258  0.6000  0.0572 -0.0003  0.4769 0 
 45.3315  0.1759  0.9926  0.0924  0.5846  0.0576  0.3065  0.0234 -0.0003  0.6115 0 
 46.3172 -0.3592 -1.9900  0.0334  0.2913  0.1160  0.4354  0.0032 -0.0003  0.2174 0 
 46.0060  0.3798  1.1167  0.0000  0.2019  0.0782  0.0873  0.0030 -0.0003  0.2067 0 
 48.2429  0.1466 -2.7698  0.0045  0.3698  0.2131  0.3447  0.0090 -0.0003  0.2024 0 
 45.4536 -0.1372  0.3677  0.0214  0.3593  0.1094  0.4375  0.0795  0.2192  0.5030 0 
 44.3946 -0.2951 -2.3650  0.0937  0.6737  0.0621  0.5724  0.1129  0.1984  0.8441 0 
 43.6957  0.2976  0.7509  0.1355  0.3524  0.0650  0.3537  0.1527  0.1570  0.8868 0 
